R_f_c,c_tilde_c,R_f_a,c_tilde_a,c_lyte,J1,c_c_1,c_c_2,c_c_3,c_c_4,c_c_5,dV_1,dV_2,dV_3,dV_4,dV_5,error_1,error_2,error_3,error_4,error_5
7.838,0.927,2.49,0.952,0.863,3.9527562896757247,0.8,0.8,0.596,0.435,0.4,-0.1999993187116786,0.05000008665945835,0.19999799647360936,-0.19999675209462112,0.1999980422517878,0.0035633899313284477,2.8986309626863712e-05,0.0011806607224294048,7.934091603338225e-05,0.00013100011579066497
1.135,0.995,7.287,0.87,0.942,-0.07214468686840686,0.8,0.8,0.653,0.478,0.4,0.1999996798442664,-0.19999958861537487,0.19999665736448358,-0.19999941426117215,0.12415122137277917,0.00021524775914994756,1.0420155294572203e-05,0.004356759353005058,0.00013718229172339584,7.418061936364548e-05
0.175,0.978,2.849,0.86,0.958,-7.012747618344182,0.8,0.644,0.54,0.492,0.4,-0.19999926955094974,0.1999997751173651,-0.19999993327359353,0.08163423389667408,0.19999767994918344,0.00016699589054187963,6.846747228515401e-06,0.0015222229919217454,4.859123595271163e-05,5.33941319182901e-05
3.01,0.849,9.263,0.978,0.937,7.058857308459622,0.8,0.8,0.616,0.486,0.4,-0.19999885947654725,0.19999886539999415,0.19999737128401407,-0.19999927332024858,0.19999983919840572,0.0009830923582987378,1.74787177414088e-05,0.0056062458133903596,0.00019068698323160393,0.00022327152134194621
4.946,0.846,2.555,0.879,0.875,3.221910763493004,0.8,0.8,0.603,0.437,0.4,0.05000017309215515,-0.199998360493565,0.1999978055137324,-0.19999997209247966,0.19999917463106898,0.0018567061235028877,2.192705332598211e-05,0.0012742084329188446,7.215738028449025e-05,0.0001355500135401814
6.757,0.809,3.433,0.929,0.857,5.1433269643902015,0.8,0.8,0.606,0.417,0.4,-0.19999848111052337,0.050000103400236195,0.19999986650175486,-0.1999979565656827,0.199998835781977,0.0026993261209118705,2.6475759104781986e-05,0.00164875386776554,9.40650867823211e-05,0.00011949148315019009
8.231,0.805,2.108,0.924,0.82,3.1365469543045057,0.8,0.8,0.591,0.404,0.4,-0.19999661294289423,0.05000006050151424,0.19999988640111058,-0.19999935195043014,0.19999804430132462,0.0030259813505562816,2.7579178508087992e-05,0.0010540543474736772,7.172681625022316e-05,6.59898283149758e-05
8.467,0.912,4.549,0.87,0.917,8.981918236869266,0.8,0.8,0.629,0.432,0.4,-0.0969686285457657,-0.1999990686160621,0.19999837835528816,-0.19999925584259376,0.19999925944820848,0.004786418886116799,3.498277069203029e-05,0.0026316347938229344,9.932972571650152e-05,0.00038105813453308106
4.202,0.873,1.849,0.904,0.802,0.0004524255990019046,0.8,0.799,0.595,0.444,0.4,-0.19999933386278648,0.050000667112478976,0.1999975418984889,-0.1999971481198711,0.19999940612945055,0.0012123776643867383,1.8935924608908447e-05,0.0009171653493423485,6.260757450080777e-05,7.090682013289393e-05
0.931,0.994,4.839,0.849,0.906,-1.9491387689317197,0.8,0.664,0.526,0.497,0.4,-0.19999953604231435,0.19999972023387758,-0.19999970049769267,0.08128254479722175,0.19999918284757937,0.0002212276920858152,9.538559484144093e-06,0.0031782218922037525,7.796548731751082e-05,9.226258700152713e-05
9.842,0.867,6.737,0.839,0.871,11.752916118684977,0.8,0.8,0.649,0.44,0.4,0.050001700850964954,-0.19999883233616023,0.19999516795576625,-0.19999837319111693,0.1999997810958318,0.005231013131467031,3.764127247465512e-05,0.0037058242274018403,0.00011915725495999302,0.00040204748205403465
0.873,0.846,4.111,0.862,0.913,0.5927663125122876,0.8,0.8,0.606,0.479,0.4,-0.19999923210992024,0.19999957930327672,0.19999967485544803,-0.1999995706952873,0.1999984848766112,0.00040810509034215923,1.2248457638125305e-05,0.002204090787478754,8.261168232389346e-05,0.00014602879724828402
3.651,0.89,4.961,0.815,0.914,6.021706559787222,0.8,0.639,0.402,0.402,0.4,-0.19999829264873886,0.1999994807320954,0.07063658532081904,-0.19999993536864766,0.19999990082642935,0.00105559148741231,2.197740481832575e-05,0.0032131930907699125,9.382199609368876e-05,0.00030858256998635706
9.24,0.832,8.669,0.817,0.915,12.802747226769402,0.8,0.8,0.618,0.441,0.4,-0.19999968809555543,0.199998172008504,0.19999805838049733,-0.1999996111916843,0.1999992731616505,0.004891524472985884,3.7464913250975086e-05,0.004895840482387034,0.00014765288904280751,0.0004857990560040962
3.009,0.837,3.232,0.933,0.913,3.33892290543146,0.8,0.604,0.51,0.401,0.4,-0.19999943276315849,0.1999997446046665,-0.1999999477008705,-0.08535379916020142,0.19999876541857478,0.0016320651331913976,2.1771079259452322e-05,0.0015500916225263668,8.631825505916484e-05,0.00024331602408938434
8.245,0.836,8.773,0.9,0.993,12.268568617617813,0.8,0.8,0.619,0.498,0.4,0.19999804947941077,-0.19999843394494057,0.19999969483133342,-0.19999999540362803,0.19999917710056356,0.004998905392206166,3.3282663181547476e-05,0.005187639956378456,0.00017038019693161715,0.0004837300782246624
