R_f_c,c_tilde_c,R_f_a,c_tilde_a,c_lyte,J1,c_c_1,c_c_2,c_c_3,c_c_4,c_c_5,dV_1,dV_2,dV_3,dV_4,dV_5,error_1,error_2,error_3,error_4,error_5
7.713,0.804,6.336,0.95,0.9,17.310280169797974,0.8,0.641,0.641,0.4,0.4,-0.19999873662959386,0.14999007071395828,-0.1551474237486654,0.19999868246900412,-0.19999960245851692,0.46316870629212,0.0023689145110636,0.0010560879250625537,2.6518405975686122e-05,2.8612783777762483e-05
1.803,0.804,4.632,0.945,0.884,6.030170311252233,0.8,0.8,0.683,0.549,0.401,-0.19999912645559068,0.19999934666097335,-0.15945739830166977,0.18670989161676996,-0.1999995343522207,0.021690794018685348,0.00045632729512502123,0.0005086960308470954,1.2602261659054923e-05,2.3422150492596887e-05
1.542,0.948,2.633,0.907,0.803,3.691364405280007,0.8,0.775,0.628,0.628,0.429,-0.19999928697492098,0.19999974977810234,0.1499686024610706,-0.14854853634333795,-0.19999976980763803,0.012924325037506748,0.0009472538888944863,0.00038206832469881775,1.2714468251977727e-05,2.4120397143289442e-05
7.777,0.848,8.243,0.993,0.995,18.31972511996137,0.8,0.8,0.717,0.557,0.4,-0.19999893821230544,0.19999993400706104,-0.19777782341999567,0.19999632031129708,-0.19999818326113666,0.812333723939176,0.004759723756856566,0.0008102991566761459,1.3853196938475552e-05,2.2203760953443172e-05
5.139,0.955,8.704,0.802,0.862,19.115264205518184,0.8,0.661,0.661,0.471,0.4,-0.19999690496618566,0.15611437776337617,-0.15073170533988928,-0.19999697674231168,0.19999647084965413,0.20027578214648595,0.005030569194990325,0.002194014618467766,3.471775934987938e-05,6.789892703861542e-05
8.488,0.836,0.544,0.872,0.855,7.59188085120717,0.8,0.8,0.685,0.462,0.453,-0.1999999088188169,-0.10196811663497976,-0.15255183535679406,-0.19999898922628565,0.19999667495349194,0.24046911477401872,0.0012723874251628162,0.00015939418572302082,6.11853197407406e-06,1.4168465233775877e-05
2.233,0.905,5.507,0.809,0.872,11.87253431497891,0.8,0.656,0.656,0.471,0.4,-0.1999976692811555,0.14462780603438394,-0.152873398121336,-0.19999997901379446,0.19999973643014934,0.04051891594953666,0.0013916225335925637,0.0012858964130987407,2.518882123698648e-05,5.032290581585794e-05
2.947,0.906,1.915,0.814,0.957,9.571809179372845,0.8,0.71,0.587,0.504,0.4,-0.19999998507407668,-0.16962928435348726,0.13375359239251564,-0.19999997658734137,0.19999995090068529,0.11426888092542702,0.002427082957216795,0.0005271957817640381,1.4312108052820676e-05,2.51336026341648e-05
6.504,0.901,8.786,0.836,0.97,22.24446928213331,0.8,0.72,0.548,0.548,0.4,-0.1999988345428917,-0.1806107914423119,-0.19999981873692776,0.16820549968069498,0.19999977678593583,0.647625064041672,0.008110674765543006,0.0024474373945785406,4.0346268869627906e-05,6.80431254727673e-05
0.975,0.952,2.469,0.828,0.866,2.923841930341588,0.8,0.693,0.59,0.485,0.4,-0.1999993548187129,-0.15899534055995657,0.136414631560795,-0.1999996974780679,0.1999987383814555,0.007376402424805347,0.0007990087517740132,0.0005552041541156357,1.5469233022114815e-05,3.0233180152231867e-05
5.881,0.98,8.915,0.963,0.807,15.812017274797558,0.8,0.8,0.684,0.48,0.48,-0.1999990003426557,0.1999999280863343,-0.15411091686864992,-0.19999988367790966,0.19900796807147716,0.18373725200471894,0.00509227004571784,0.0011749675145429075,2.004409285516351e-05,4.241650052364134e-05
0.487,0.858,7.21,0.804,0.841,4.8911631555638095,0.8,0.691,0.613,0.47,0.4,-0.19999875422079455,-0.1631651126753386,0.15835214138948564,-0.1999995233062335,0.19999958974789617,0.002362935747707929,0.00018258126516283534,0.0017501803009212491,3.0804756185988235e-05,6.049110445348633e-05
2.085,0.896,4.205,0.972,0.834,4.752717207883839,0.8,0.8,0.677,0.538,0.4,0.19999986907753947,-0.1999974548043577,-0.15696478444077364,0.19108168660106659,-0.19999992933709426,0.02245185408757686,0.000864683523240504,0.00037334721634681145,9.081679114145539e-06,2.106358722664317e-05
5.173,0.989,7.655,0.856,0.844,17.24113955442933,0.8,0.8,0.687,0.59,0.433,0.19999933856256982,-0.19999626078029203,-0.15704456868282876,0.18299577304830086,-0.19999987632383998,0.16889645169464984,0.005436567974512681,0.0014579584210154528,2.8566230730740595e-05,4.7678551562847255e-05
